Order ID,Order Date,Buyer,Base Currency,Shipping,Insurance,Add Chrg 1,Add Chrg 2,Credit,Coupon Credit,Order Total,Tax,Base Grand Total,Total Lots,Total Items,Order Status,Order Status Changed,Pmt In,Pmt Method,Order Note,Tracking No,Location,Batch,Batch Date,Condition,Item Description,My Remarks,Qty,Each,Total,Item Type,Item Number,Weight,Inv ID,Sub-Condition,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Black Minifigure, Weapon Gun, Pistol Automatic Medium Barrel ",,1,$0.30,$0.30,Part,62885,0.3,364993738,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Chrome Silver Minifigure, Weapon Lightsaber Hilt Straight ",,4,$1.50,$6.00,Part,64567,0.19,362705568,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Chrome Silver Minifigure, Weapon Lightsaber Hilt Straight Slight discolor",,2,$1.00,$2.00,Part,64567,0.19,364242255,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Dark Bluish Gray Minifigure, Helmet Antenna / Rangefinder for Helmet SW Clone Trooper with Holes ",,3,$0.29,$0.87,Part,61190d,0.06,362708311,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Dark Bluish Gray Minifigure, Weapon Gun, Pistol Revolver - Large Barrel and Solid Handle ",,3,$0.10,$0.30,Part,30132,0.15,363782402,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,White Torso SW Armor Clone Trooper Pattern / White Arms / Black Hands ,,1,$4.99,$4.99,Part,973pb0117c01,1.35,364064474,,,
23108117,9/15/2023,thatonebuyer29,USD,$4.99,,,,,$10.38,$129.74,$10.48,$134.83,1,26,Received,9/26/2023,USD,PayPal (Onsite),,,"USA, California",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/15/2023,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern Very good condition, like new, and it should be noted that this helmet exhibits noticeable print variations.",,26,$4.99,$129.74,Part,30408p01,1.07,364232320,,,
23103205,9/15/2023,wadfordjd2018,USD,$4.99,,,,,,$1.50,$0.00,$6.49,1,3,Completed,9/23/2023,USD,PayPal (Onsite),,,"USA, Mississippi",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/15/2023,Used,Dark Tan Dish 2 x 2 Inverted (Radar) with Mushroom Tan Pattern,,3,$0.50,$1.50,Part,4740pb009,0.25,364237436,,,
23092822,9/13/2023,mrwiese55,USD,$4.99,,,,,,$30.78,$1.85,$37.62,5,7,Completed,9/16/2023,USD,PayPal (Onsite),,,"USA, Virginia",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/13/2023,Used,"Dark Bluish Gray Minifigure, Weapon Axe, Halberd Elaborate ",,1,$0.49,$0.49,Part,6123,0.86,367053184,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/13/2023,Used,"Light Bluish Gray Minifigure Cape Cloth, Standard - Traditional Starched Fabric - 4.0cm Height Slight fraying on all edges, no fading, pictures can be asked for so feel free to reach out",,1,$12.00,$12.00,Part,522,0.18,368385875,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/13/2023,Used,"Light Bluish Gray Minifigure Cape Cloth, Standard - Traditional Starched Fabric - 4.0cm Height Very good condition no fraying, no fading, pictures can be asked for so feel free to reach out",,1,$17.99,$17.99,Part,522,0.18,368385752,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/13/2023,Used,Light Bluish Gray Slope 65 2 x 2 x 2 with Bottom Tube,,1,$0.09,$0.09,Part,3678b,2.09,363929431,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/13/2023,Used,White Brick 2 x 2 Corner,,3,$0.07,$0.21,Part,2357,1.25,367053245,,,
23081327,9/12/2023,IndaKota,USD,$4.99,,,,,,$11.17,$0.70,$16.86,4,4,Completed,9/19/2023,USD,PayPal (Onsite),,,"USA, Massachusetts",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,Black Hips and White Legs Pre owned with some wear,,1,$0.40,$0.40,Part,970c01,1.16,364064665,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,Dark Bluish Gray Tile 1 x 4,,1,$0.12,$0.12,Part,2431,0.54,363929413,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,"Metallic Silver Minifigure, Weapon Lightsaber Hilt Straight ",,1,$0.15,$0.15,Part,64567,0.19,365172649,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 with Green Stripes Pattern",,1,$10.50,$10.50,Part,50995pb04,1.02,362704919,,,
23079876,9/12/2023,ravpug,USD,$4.99,,,,,,$18.40,$1.93,$25.32,6,11,Completed,9/22/2023,USD,PayPal (Onsite),,,"USA, Texas",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,Battle Droid Tan without Back Plate ,,5,$1.50,$7.50,Minifigure,sw0001b,2,363186520,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,Dark Tan Plate 6 x 8,,2,$0.20,$0.40,Part,3036,6.4,367053198,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,"Pearl Gold Dragon, Baby &#40;HP Norbert&#41;",,1,$1.35,$1.35,Part,41535,0.75,363931204,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,"Reddish Brown Minifigure, Weapon Pike / Spear Elaborate with Molded Pearl Light Gray Tip Pattern ",,1,$6.00,$6.00,Part,90391pb01,0.46,364362676,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,"Tan Legs Mechanical, Battle Droid ",,1,$0.65,$0.65,Part,30376,0.4,364065603,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/12/2023,Used,White Torso SW Armor Clone Trooper with Red Mark 'Shock Trooper' Pattern / White Arms / Black Hands ,,1,$2.50,$2.50,Part,973pb0117rc01,1.33,363530962,,,
22988948,9/1/2023,Brickmaniac33,USD,$4.99,,,,,,$8.99,$1.15,$15.13,1,1,Completed,9/8/2023,USD,PayPal (Onsite),,,"USA, Texas",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/1/2023,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,,1,$8.99,$8.99,Part,48431pb01,0.06,362705061,,,
